3946,-0.11,-2.84
3965,-0.11,-2.71
3985,-0.11,-2.98
4004,-0.11,-2.84
4024,-0.11,-2.84
4043,-0.10,-2.71
4063,-0.11,-2.71
4082,-0.11,-2.71
4103,-0.11,-2.84
4122,-0.11,-2.98
4142,-0.10,-2.71
4161,-0.10,-2.71
4180,-0.11,-2.84
4200,-0.11,-2.84
4219,-0.11,-2.84
4239,-0.11,-2.84
4258,-0.11,-2.84
4278,-0.10,-2.84
4297,-0.11,-2.84
4317,-0.10,-2.71
4336,-0.11,-2.84
4356,-0.11,-2.84
4375,-0.11,-2.84
4395,-0.11,-2.84
4414,-0.11,-2.84
4436,-0.11,-2.84
4456,-0.11,-2.84
4475,-0.10,-2.71
4496,-0.10,-2.84
4515,-0.11,-2.84
4535,-0.10,-2.84
4554,-0.10,-2.71
4574,-0.10,-2.71
4593,-0.10,-2.71
4613,-0.10,-2.71
4632,-0.10,-2.71
4652,-0.10,-2.71
4671,-0.10,-2.71
4690,-0.10,-2.71
4710,-0.10,-2.71
4729,-0.10,-2.71
4749,-0.10,-2.84
4768,-0.10,-2.71
4788,-0.10,-2.71
4807,-0.11,-2.71
4827,-0.10,-2.84
4846,-0.11,-2.84
4866,-0.10,-2.71
4885,-0.10,-2.71
4904,-0.10,-2.71
4924,-0.11,-2.71
4943,-0.11,-2.84
4984,-0.11,-3.11
5005,-0.11,-2.98
5040,-0.11,-2.98
5062,-0.11,-3.11
5084,-0.11,-3.11
5105,-0.11,-3.11
5128,-0.11,-3.11
5149,-0.11,-3.11
5172,-0.11,-2.98
5193,-0.11,-3.11
5215,-0.11,-2.98
5237,-0.11,-2.84
5259,-0.11,-3.11
5280,-0.11,-3.11
5303,-0.11,-2.98
5324,-0.11,-2.84
5346,-0.11,-2.98
5368,-0.11,-2.84
5390,-0.11,-2.98
5411,-0.11,-2.84
5434,-0.10,-2.71
5455,-0.11,-2.84
5477,-0.11,-2.98
5499,-0.11,-2.98
5521,-0.11,-2.84
5542,-0.11,-2.84
5565,-0.11,-2.98
5586,-0.11,-2.98
5608,-0.11,-2.98
5630,-0.11,-2.98
5655,-0.11,-3.11
5678,-0.11,-3.11
5699,-0.11,-2.98
5721,-0.11,-2.98
5743,-0.11,-3.11
5765,-0.12,-3.11
5786,-0.12,-3.11
5809,-0.11,-3.11
5830,-0.11,-2.98
5852,-0.11,-3.11
5874,-0.11,-2.98
5896,-0.11,-2.71
5918,-0.11,-2.84
5940,-0.11,-2.98
5961,-0.11,-2.84
5984,-0.11,-2.84
6005,-0.11,-2.84
6027,-0.11,-2.84
6049,-0.11,-2.98
6071,-0.11,-3.90
6092,-0.11,-2.71
6115,-0.11,-2.84
6136,-0.11,-2.84
6158,-0.11,-2.71
6180,-0.11,-2.71
6202,-0.10,-2.71
6223,-0.11,-2.84
6246,-0.11,-2.84
6267,-0.11,-2.84
6287,-0.11,-2.71
6308,-0.11,-2.71
6331,-0.11,-2.84
